year,competition_name,download_link
2021,Education Manuals and Certificates,https://shop.swimming.org.nz/index.php?route=product/category&path=50
2021,The history of Para swimming,https://archive.swimming.org.nz/para-swimming.html
2021,Learn To Swim,https://archive.swimming.org.nz/pss-learn-to-swim.html
2021,Joining A Club,https://swimming.org.nz/find-a-club.html
2021,Classification in Para swimming,https://archive.swimming.org.nz/pss-classification-in-para-swimming.html
2021,Competitive Swimming,https://archive.swimming.org.nz/pss-competitive-swimming.html
2021,NCEA Modifications,https://archive.swimming.org.nz/pss-ncea-modifications.html
2021,"Info for coaches, clubs and regions",https://archive.swimming.org.nz/page.php?id=3216
2021,Our Organisation,https://archive.swimming.org.nz/about-swimming-new-zealand.html
2021,History,https://archive.swimming.org.nz/page.php?id=1650
2021,Life Members,https://archive.swimming.org.nz/life-members.html
2021,Presidents,https://archive.swimming.org.nz/page.php?id=3252
2021,Board,https://archive.swimming.org.nz/page.php?id=1651
2021,Our Staff,https://archive.swimming.org.nz/profiles.php?section=168
2021,Contact Us,https://archive.swimming.org.nz/page.php?id=1653
2021,Annual Awards,https://archive.swimming.org.nz/awards-dinner.html
2021,Honours Awards,https://archive.swimming.org.nz/honours-awards.html
2021,Service Awards,https://archive.swimming.org.nz/service-awards.html
2021,SNZ Trophies,https://archive.swimming.org.nz/snz-trophies.html
2021,Awards & Honours Nominations,https://archive.swimming.org.nz/awards-and-honours.html
2021,Find your local Swim Club,https://archive.swimming.org.nz/find-a-club.html
2021,Find a Quality Swim School,https://archive.swimming.org.nz/find-a-quality-swim-school.html
2021,Reports & Minutes,https://archive.swimming.org.nz/page.php?id=588
2021,Constitution,https://archive.swimming.org.nz/constitution.html
2021,SNZ Policies & Procedures,https://archive.swimming.org.nz/policies-and-procedures.html
2021,Swimming Rules,https://archive.swimming.org.nz/page.php?id=3067
2021,Terms & Conditions,https://archive.swimming.org.nz/terms-and-conditions.html
2021,Committees,https://archive.swimming.org.nz/committees.html
2021,SNZ Strategic Summary 2018-2024,https://archive.swimming.org.nz/whole-of-sport-plan.html
2021,Membership Information,https://archive.swimming.org.nz/membership-information.html
2021,Obituaries,https://archive.swimming.org.nz/obituaries.html
2021,Regions & Clubs,https://archive.swimming.org.nz/regions-and-clubs.html
2021,NZ Swimming Alumni,http://www.nzswimmingalumni.org.nz/
2021,NZ Masters Swimming,http://www.nzmastersswimming.org.nz/
2021,NZSCTA (Coaches & Teachers Association),https://www.nzscta.com/
2021,Sponsors & Partners,https://archive.swimming.org.nz/sponsors.php
2021,Community Vacancies,https://archive.swimming.org.nz/other-vacancies.html
2021,Police Vetting,https://archive.swimming.org.nz/swimming-new-zealand-police-vetting-process.html
2021,Police Vetting How To Process,https://swimming.org.nz/visageimages/Members%20Resources/Membership%20Protection/How%20to%20complete%20the%20police%20vetting%20process%20003.pdf
2021,Consent to Disclose Submission,https://form.jotform.com/210806794208862
2021,NZ Police Vetting Application Form,https://swimming.org.nz/visageimages/Health%20and%20Safety/Police%20Vetting/Police%20Vetting%20Request%20&%20Consent%20Application%20Form.doc
2021,Police Vetting Policy,https://swimming.org.nz/visageimages/Legal%20&%20Governance/Policies/Swimming%20NZ%20Police%20Vetting%20Policy%20and%20Process%20-%20Version%202%20-%2025%20Feb%202021.pdf
2021,Membership Software,https://www.aptsolutions.net/
2021,"As per the information sent out earlier in 2021,Athletes will be recognised as members of teams for Oceania, World University Games and World Junior Championships in the normal fashion, as in past years. We will also recognise those who would have been selected for the 2020 Junior Pans Pac’s Team.We made the call early in 2021 that given the current significant risks and restrictions relating to international travel as a result of Covid-19, it would be extremely unlikely that we will send teams overseas to these events, but we would continue to monitor the situation very closely and may revise this current non-travel position should there be a significant change in the international Covid status over the coming months. Both the World University Games, the Oceania Championships have since then been cancelled for this year and with the World unchanged in terms of risks to travellers, we will not be sending a team to the World Junior Championships in Russia in August.Planning and travel for/to the Tokyo 2020 Olympic Games will continue, working closely with the NZ Olympic Committee, High Performance Sport NZ and FINA.The selected swimmers below will be invited to take part in a closer to home international meet TBA shortly.Congratulations to the following Swimmers who have achieved the selection standards detailed in the following international events:2021 World University Games- Swimmers born between 1st Jan 1996 - 31st Dec 2003- This list does not suggest that these Swimmers are FISU eligible(studying at a tertiary institute), but that they have achieved the standardand are eligible in terms of age.2021 Oceania ChampionshipsThe following Swimmers have achieved the qualifying standards for the2021 Oceania Championships, postponed from 2020.All athletes must be born before 1 January 2002.2021 World Junior ChampionshipsCongratulations to the following 2 Swimmers who are eligible for World Juniors and achieved the following times:NameClubEventTimeSamBrownCapital400 IM04:24.55LauraLittlejohnSt. Pauls50 Free25.59100 Free00:55.992021 Tri Series TourNAMECLUBCOACHGraceBaikUnitedIgor PolianskiHugoBatchelorUnitedIgor PolianskiSamBrownCapitalGary HollywoodJackBuglerBlenheimJenni GaneDanielCallebautAquabladzSue SouthgateGustavCampherNorth ShoreRyan SkinnerCalebCarlisleGreendaleGary KnightHopeChmielVikingsTodd MasonBaileyConlonTe AwaraHenk GruepinkJasperCornishCoastJohn GatfieldMelissaCowenNorth ShoreRyan SkinnerZoeCrawfordNorth ShoreRyan SkinnerJamesCrosbieUnitedIgor PolianskiSarahCummingsLiz Van WhelieMatt Teokotai-WhiteHunterDobsonWaitakerePaul KentGabrielleDoyleNorth ShoreMichelle GilliesLanceDustowGreendaleGary KnightIueanEdwardsSelwynBen CloseTylerFinauEnterpriseGary MartinIsabelleGibsonUnitedIgor PolianskiLukeGibsonUnitedIgor PolianskiCameronGrayNorth ShoreRyan SkinnerFinnHarlandPiratesSteve FrancisLauraLittlejohnSt. PaulsGraham SmithBronsonLloydCapitalGary HollywoodConorMcCulloughJasiPeter BurgonLucyMcKinnonTBSSSandra BurrowPippaMihakaHamilton AqMat WoofeCooperMorleyNorth ShoreRyan SkinnerThomasMurrayPukekoheMitch NairnSummerOsborneNorth ShoreRyan SkinnerLivPeeblesTBSSSandra BurrowMollyPlayerCapitalAndre KudabaSamPochingNorth ShoreRyan SkinnerZyleikaPratt-SmithMt MaunganuiStan Teokotai-WhiteHollyRahurahuNorth CanterburyBrigitte MahanJennaRolston-LarkingCapitalGary HollywoodOliverSarginsonUnitedIgor PolianskiWilliamSeymourTasmanDaniel BellGusShivnanMt MaunganuiStan Teokotai-WhiteGabbySmithWharenuiMatt HoustonSiobhanTerryTe AwaraHenk GruepinkTaikoTorepe-OrmsbyWharenuiCarl GordonCharlieTwoseNorth ShoreRyan SkinnerJesseWelshUnitedIgor PolianskiRebeccaWilkinsPhoenixMatt Phillips & David LylesGeorgiaWillsCapitalGary HollywoodDavidZhuPorirua CitySteven Zhu",https://archive.swimming.org.nz/visageimages/High%20Performance/National Squads/21-22 /2021 TRI SERIES TOUR ATHLETES.pdf
2020,SNZ Events,https://www.facebook.com/SNZevents
2020,Epic Swim,https://www.facebook.com/EpicSwim
2020,High Performance,https://www.facebook.com/pages/High-Performance-Swimming-New-Zealand/217739888313688
2020,Home,https://archive.swimming.org.nz/
2020,LATEST NEWS,https://archive.swimming.org.nz/news.php
2020,High Performance,https://archive.swimming.org.nz/news.php?section=148
2020,Education,https://archive.swimming.org.nz/news.php?section=149
2020,Community,https://archive.swimming.org.nz/news.php?section=150
2020,Social Media,https://archive.swimming.org.nz/social-media.html
2020,Freestyler,https://archive.swimming.org.nz/freestyler.html
2020,Media Contacts,https://archive.swimming.org.nz/media-contact.html
2020,Photography,https://archive.swimming.org.nz/gallery.php
2020,Videos,https://archive.swimming.org.nz/livestream.php?view=archive
2020,Athlete Pathway,https://archive.swimming.org.nz/page.php?id=2901
2020,Athlete Leadership Group,https://archive.swimming.org.nz/page.php?id=3188
2020,Anti-Doping,https://archive.swimming.org.nz/anti-doping.html
2020,Carding,https://archive.swimming.org.nz/hpsnz-carding-and-support.html
2020,Local Funding Sites,https://archive.swimming.org.nz/page.php?id=3016
2020,PM Scholarships,https://archive.swimming.org.nz/page.php?id=2204
2020,Coaching Strategy,https://archive.swimming.org.nz/page.php?id=3214
2020,Coach Selection Criteria for International Teams,https://archive.swimming.org.nz/page.php?id=3213
2020,Prime Minister Coach Scholarships,https://archive.swimming.org.nz/page.php?id=2206
2020,Long Term Athlete Development,https://archive.swimming.org.nz/page.php?id=2207
2020,Selection Criteria,https://archive.swimming.org.nz/selection-criteria-pool-open-water.html
2020,International HP Calendar,https://archive.swimming.org.nz/page.php?id=2305
2020,Selection Panel,https://archive.swimming.org.nz/page.php?id=2409
2020,2021,https://archive.swimming.org.nz/page.php?id=3477
2020,2020,https://archive.swimming.org.nz/page.php?id=3476
2020,2019,https://archive.swimming.org.nz/page.php?id=3086
2020,2018,https://archive.swimming.org.nz/page.php?id=2741
2020,2017,https://archive.swimming.org.nz/2017-national-teams.html
2020,2016,https://archive.swimming.org.nz/2016-national-teams.html
2020,2015,https://archive.swimming.org.nz/2015-national-teams.html
2020,2014,https://archive.swimming.org.nz/national-teams-2014.html
2020,2013,https://archive.swimming.org.nz/2013-national-teams.html
2020,2012,https://archive.swimming.org.nz/nationals-teams-2012.html
2020,2011,https://archive.swimming.org.nz/nationals-teams-2011.html
2020,2010,https://archive.swimming.org.nz/nationals-teams-2010.html
2020,2009,https://archive.swimming.org.nz/nationals-teams-2009.html
2020,Historical,https://archive.swimming.org.nz/nationals-teams-historical.html
2020,Swimmers & Coaches Profiles,https://archive.swimming.org.nz/profile_type.php?type=athlete
2020,AquaBlacks,https://archive.swimming.org.nz/profiles.php?section=119
2020,New Zealand Swimmers,https://archive.swimming.org.nz/profiles.php?section=120
2020,Past AquaBlacks,https://archive.swimming.org.nz/profiles.php?section=121
2020,New Zealand Coaches,https://archive.swimming.org.nz/profiles.php?section=3087
2020,Strategies and Policies,https://archive.swimming.org.nz/page.php?id=2363
2020,Events Calendar,https://archive.swimming.org.nz/calendar.html
2020,All National and International Meets,https://archive.swimming.org.nz/national-international-meets.html
2020,All New Zealand Meets,https://archive.swimming.org.nz/all-new-zealand-meets.html
2020,Past Meets,https://archive.swimming.org.nz/past-meets.html
2020,LIVESTREAM,https://archive.swimming.org.nz/livestream.html
2020,FAQ - Events & Competition Restructure,https://archive.swimming.org.nz/page.php?id=3582
2020,Designated Meets,https://archive.swimming.org.nz/page.php?id=3676
2020,Current Records,https://archive.swimming.org.nz/current-records.html
2020,Record Ratification Sheets,https://archive.swimming.org.nz/record-ratification-sheets.html
2020,TM Results Files,https://archive.swimming.org.nz/page.php?id=1065
2020,Results Database,https://archive.swimming.org.nz/results.html
2020,Committees & Working Groups,https://archive.swimming.org.nz/page.php?id=2601
2020,Meet Approval Process,https://archive.swimming.org.nz/page.php?id=1001
2020,Covid-19 and Health & Safety,https://archive.swimming.org.nz/page.php?id=3698
2020,Member Protection Policy Manual,https://swimming.org.nz/article.php?group_id=9187
2020,Membership Categories,https://swimming.org.nz/membership-information.html
2020,Mytogs,https://mytogs.co.nz/
2020,My Squads,https://mysquads.co.nz/
